population code,Population name,Host plant species,mean spur lngth,sds,Sample size (N),pops
R. neliana_8,Sani Pass ,D. cordata_D. austromontana_D. megathura_D. integerrima,10.56,0.64,26,SP
R. neliana_7,Garden Castle,D. megathura_D. austromontana,9.58,0.5,16,GC
R. neliana_11,Sentinel,D. tugelensis_D. vigilid,9.28,0.59,40,ST
R. neliana_9,Cathedral Peak,D. anastrepta,9.77,0.56,30,CP
R. neliana_12,Platberg,D. barberae,8.94,0.68,38,P
R. neliana_16,Lady Grey,D. capsularis,11.66,0.98,30,LG
R. neliana_17,Clanville,D. capsularis,12.32,1.12,30,C
R. neliana_18,Rossouw,D. capsularis,10.55,0.97,30,R
R. neliana_19,Bhoek Pass,D. capsularis,12.41,1.06,30,BP
R. neliana_20,Risingham,D. capsularis,11.02,0.68,27,R
R. neliana_21,Mt. Zebra,D. capsularis,13.88,0.71,30,MZ
R. neliana_22,Karoo Park,D. capsularis,12.84,0.65,30,KP
R. neliana_4,Bastervoetpad,D. fetcaniensis,7.34,0.59,26,B
R. neliana_5,Elands Heights,D. fetcaniensis,7.1,0.57,21,EH
R. neliana_13,Goldengate,D. integerrima,8.09,0.98,33,G
R. neliana_15,Joubert's Pass,D. integerrima,8.58,0.75,29,JP
R. neliana_1,Hogsback,D. rigescens,5.32,0.61,25,H
R. neliana_2,Katberg,D. rigescens,5.62,0.43,25,K
R. neliana_3,Mt. Kemp,D. rigescens,5.71,0.65,30,MK
R. neliana_6,Qachas Nek,D. stachyoides,9.14,0.58,30,QN
R. neliana_10,Pudding,D. vigilis,9.3,0.6,30,P
R. pallidula_2,Blue Mtn. Pass ,D. anastrepta,8.81,0.24,24,BMP
R. pallidula_4,Sani Pass ,D. anastrepta,9.16,0.64,24,SP
R. pallidula_1,Mapholaneng,D. barberae,10.21,0.53,24,M
R. pallidula_3,Sani flats,D. barberae,10.26,0.62,24,SH
R. pallidula_5,Lebelonyane,D. barberae,10.68,0.7,24,L
R. pallidula_6,Naudesnek ,D. integerrima,7.54,0.74,24,N
